GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2)
1634914866,Catan,14,GAME_OVER,269,2,4,12,Catan_2,2.0,2.0,6.0,8.0,Catan,PhaseBasedEnsemblePlayer,Catan_3,3,Catan_2,3,3,3,2,2,1,Catan,1,PhaseBasedEnsemblePlayer,Catan_3,Catan,Catan_2,Catan_3,PhaseBasedEnsemblePlayer
-2085712877,Catan,68,GAME_OVER,1553,1,4,13,Catan_3,7.0,8.0,4.0,8.0,PhaseBasedEnsemblePlayer,Catan,Catan_2,3,Catan_3,3,1,1,4,4,1,PhaseBasedEnsemblePlayer,1,Catan,Catan_2,PhaseBasedEnsemblePlayer,Catan_3,Catan_2,Catan
1404729080,Catan,19,GAME_OVER,379,3,4,14,Catan_2,4.0,4.0,10.0,4.0,Catan_3,Catan,PhaseBasedEnsemblePlayer,2,Catan_2,2,2,2,1,1,2,Catan_3,2,Catan,PhaseBasedEnsemblePlayer,Catan_3,Catan_2,PhaseBasedEnsemblePlayer,Catan
1749183282,Catan,24,GAME_OVER,486,1,4,15,Catan_3,9.0,5.0,7.0,5.0,PhaseBasedEnsemblePlayer,Catan,Catan_2,1,Catan_3,1,3,3,2,2,3,PhaseBasedEnsemblePlayer,3,Catan,Catan_2,PhaseBasedEnsemblePlayer,Catan_3,Catan_2,Catan
919212675,Catan,35,GAME_OVER,755,1,4,16,PhaseBasedEnsemblePlayer,10.0,6.0,7.0,3.0,Catan_3,Catan,Catan_2,1,PhaseBasedEnsemblePlayer,1,3,3,2,2,4,Catan_3,4,Catan,Catan_2,Catan_3,PhaseBasedEnsemblePlayer,Catan_2,Catan
1860271673,Catan,37,GAME_OVER,825,2,4,17,PhaseBasedEnsemblePlayer,9.0,4.0,8.0,9.0,Catan_3,Catan_2,Catan,1,PhaseBasedEnsemblePlayer,1,4,4,3,3,1,Catan_3,1,Catan_2,Catan,Catan_3,PhaseBasedEnsemblePlayer,Catan,Catan_2
-1991019922,Catan,28,GAME_OVER,545,3,4,18,PhaseBasedEnsemblePlayer,4.0,3.0,10.0,4.0,Catan_3,Catan,Catan_2,2,PhaseBasedEnsemblePlayer,2,4,4,1,1,2,Catan_3,2,Catan,Catan_2,Catan_3,PhaseBasedEnsemblePlayer,Catan_2,Catan
-2081461300,Catan,17,GAME_OVER,322,1,4,19,Catan_3,10.0,6.0,5.0,3.0,PhaseBasedEnsemblePlayer,Catan_2,Catan,1,Catan_3,1,2,2,3,3,4,PhaseBasedEnsemblePlayer,4,Catan_2,Catan,PhaseBasedEnsemblePlayer,Catan_3,Catan,Catan_2
-1002821629,Catan,29,GAME_OVER,581,2,4,20,Catan_3,3.0,4.0,6.0,10.0,Catan_2,Catan,PhaseBasedEnsemblePlayer,4,Catan_3,4,3,3,2,2,1,Catan_2,1,Catan,PhaseBasedEnsemblePlayer,Catan_2,Catan_3,PhaseBasedEnsemblePlayer,Catan
140012366,Catan,24,GAME_OVER,461,1,4,21,Catan_3,10.0,2.0,6.0,3.0,PhaseBasedEnsemblePlayer,Catan_2,Catan,1,Catan_3,1,4,4,2,2,3,PhaseBasedEnsemblePlayer,3,Catan_2,Catan,PhaseBasedEnsemblePlayer,Catan_3,Catan,Catan_2
